channel,time,status,program,pitch,velo
1,18360,Note_on_c,0,54,100
1,18360,Note_on_c,0,54,100
1,18360,Note_on_c,0,63,100
1,18360,Note_on_c,0,63,100
1,18360,Note_on_c,1,59,100
1,18360,Note_on_c,1,59,100
1,18378,Note_off_c,0,54,100
1,18378,Note_off_c,0,63,100
1,18378,Note_off_c,1,59,100
1,18378,Note_off_c,0,54,100
1,18378,Note_off_c,0,63,100
1,18378,Note_off_c,1,59,100
1,18480,Note_on_c,0,59,100
1,18480,Note_on_c,0,68,100
1,18498,Note_off_c,0,59,100
1,18498,Note_off_c,0,68,100
1,18600,Note_on_c,0,54,100
1,18600,Note_on_c,0,54,100
1,18618,Note_off_c,0,54,100
1,18618,Note_off_c,0,54,100
1,18720,Note_on_c,0,54,100
1,18720,Note_on_c,1,63,100
1,18738,Note_off_c,0,54,100
1,18738,Note_off_c,1,63,100
1,18840,Note_on_c,0,53,100
1,18840,Note_on_c,0,53,100
1,18858,Note_off_c,0,53,100
1,18858,Note_off_c,0,53,100
1,18960,Note_on_c,0,53,100
1,18960,Note_on_c,0,59,100
1,18960,Note_on_c,1,63,100
1,18978,Note_off_c,0,53,100
1,18978,Note_off_c,0,59,100
1,18978,Note_off_c,1,63,100
1,19080,Note_on_c,0,53,100
1,19080,Note_on_c,0,54,100
1,19080,Note_on_c,0,54,100
1,19098,Note_off_c,0,53,100
1,19098,Note_off_c,0,54,100
1,19098,Note_off_c,0,54,100
1,19200,Note_on_c,0,59,100
1,19200,Note_on_c,1,63,100
1,19218,Note_off_c,0,59,100
1,19218,Note_off_c,1,63,100
1,19320,Note_on_c,0,54,100
1,19320,Note_on_c,0,54,100
1,19338,Note_off_c,0,54,100
1,19338,Note_off_c,0,54,100
1,19440,Note_on_c,0,53,100
1,19440,Note_on_c,0,54,100
1,19440,Note_on_c,1,63,100
1,19458,Note_off_c,0,53,100
1,19458,Note_off_c,0,54,100
1,19458,Note_off_c,1,63,100
1,19560,Note_on_c,0,53,100
1,19560,Note_on_c,0,59,100
1,19578,Note_off_c,0,53,100
1,19578,Note_off_c,0,59,100
1,19680,Note_on_c,0,57,100
1,19698,Note_off_c,0,57,100
1,19800,Note_on_c,0,59,100
1,19818,Note_off_c,0,59,100
1,19920,Note_on_c,0,53,100
1,19920,Note_on_c,0,55,100
1,19920,Note_on_c,1,63,100
1,19938,Note_off_c,0,53,100
1,19938,Note_off_c,0,55,100
1,19938,Note_off_c,1,63,100
1,20040,Note_on_c,0,57,100
1,20058,Note_off_c,0,57,100
1,20160,Note_on_c,0,56,100
1,20160,Note_on_c,0,62,100
1,20178,Note_off_c,0,56,100
1,20178,Note_off_c,0,62,100
1,20280,Note_on_c,0,54,100
1,20280,Note_on_c,1,64,100
1,20298,Note_off_c,0,54,100
1,20298,Note_off_c,1,64,100
1,20400,Note_on_c,0,54,100
1,20400,Note_on_c,0,62,100
1,20418,Note_off_c,0,54,100
1,20418,Note_off_c,0,62,100
1,20520,Note_on_c,1,65,100
1,20538,Note_off_c,1,65,100
1,20640,Note_on_c,0,54,100
1,20658,Note_off_c,0,54,100
1,20760,Note_on_c,0,53,100
1,20760,Note_on_c,1,61,100
1,20760,Note_on_c,1,61,100
1,20778,Note_off_c,0,53,100
1,20778,Note_off_c,1,61,100
1,20778,Note_off_c,1,61,100
1,20880,Note_on_c,0,53,100
1,20880,Note_on_c,0,62,100
1,20898,Note_off_c,0,53,100
1,20898,Note_off_c,0,62,100
1,21000,Note_on_c,0,57,100
1,21000,Note_on_c,0,57,100
1,21000,Note_on_c,1,62,100
1,21000,Note_on_c,1,62,100
1,21018,Note_off_c,0,57,100
1,21018,Note_off_c,1,62,100
1,21018,Note_off_c,0,57,100
1,21018,Note_off_c,1,62,100
1,21120,Note_on_c,0,57,100
1,21120,Note_on_c,0,59,100
1,21138,Note_off_c,0,57,100
1,21138,Note_off_c,0,59,100
1,21240,Note_on_c,0,57,100
1,21240,Note_on_c,0,57,100
1,21258,Note_off_c,0,57,100
1,21258,Note_off_c,0,57,100
1,21360,Note_on_c,0,54,100
1,21378,Note_off_c,0,54,100
1,21480,Note_on_c,0,55,100
1,21480,Note_on_c,0,58,100
1,21480,Note_on_c,1,63,100
1,21498,Note_off_c,0,55,100
1,21498,Note_off_c,0,58,100
1,21498,Note_off_c,1,63,100
1,21600,Note_on_c,0,57,100
1,21618,Note_off_c,0,57,100
1,21720,Note_on_c,0,56,100
1,21720,Note_on_c,0,62,100
1,21720,Note_on_c,0,62,100
1,21738,Note_off_c,0,56,100
1,21738,Note_off_c,0,62,100
1,21738,Note_off_c,0,62,100
1,21840,Note_on_c,0,54,100
1,21840,Note_on_c,1,64,100
1,21858,Note_off_c,0,54,100
1,21858,Note_off_c,1,64,100
1,21960,Note_on_c,0,54,100
1,21960,Note_on_c,0,57,100
